,open,high,low,close,volume,value
2022-07-01 05:03:00,25001000.0,25026000.0,25000000.0,25002000.0,31.42933314,785746596.57176
2022-07-01 05:04:00,25002000.0,25047000.0,25001000.0,25042000.0,9.34882008,233892894.65506
2022-07-01 05:05:00,25037000.0,25087000.0,25037000.0,25050000.0,10.97756071,274962388.04373
2022-07-01 05:06:00,25040000.0,25050000.0,25010000.0,25012000.0,10.41570512,260752825.01616
2022-07-01 05:07:00,25010000.0,25043000.0,25005000.0,25036000.0,4.12700915,103225723.06496
2022-07-01 05:08:00,25036000.0,25043000.0,25005000.0,25009000.0,6.47128669,161843738.92445
2022-07-01 05:09:00,25011000.0,25063000.0,25005000.0,25053000.0,7.58363467,189726903.24084
2022-07-01 05:10:00,25063000.0,25064000.0,25034000.0,25044000.0,4.65873907,116674545.45706
2022-07-01 05:11:00,25053000.0,25075000.0,25044000.0,25061000.0,4.88946388,122495377.82272
2022-07-01 05:12:00,25066000.0,25099000.0,25061000.0,25065000.0,4.61194129,115605797.87012
2022-07-01 05:13:00,25065000.0,25105000.0,25061000.0,25090000.0,6.19113349,155283009.68724
2022-07-01 05:14:00,25103000.0,25123000.0,25074000.0,25114000.0,8.54880342,214597315.00706
2022-07-01 05:15:00,25114000.0,25120000.0,25087000.0,25091000.0,7.33369258,184120810.3657
2022-07-01 05:16:00,25090000.0,25150000.0,25087000.0,25110000.0,7.65397812,192189802.93566
2022-07-01 05:17:00,25112000.0,25139000.0,25087000.0,25110000.0,9.58283375,240604764.15151
2022-07-01 05:18:00,25110000.0,25111000.0,25083000.0,25111000.0,3.18419056,79907155.92863
2022-07-01 05:19:00,25084000.0,25127000.0,25083000.0,25107000.0,4.21397949,105822766.24869
2022-07-01 05:20:00,25110000.0,25144000.0,25099000.0,25120000.0,4.46060169,112024843.48807
2022-07-01 05:21:00,25120000.0,25131000.0,25105000.0,25110000.0,4.53574715,113932559.2862
2022-07-01 05:22:00,25111000.0,25130000.0,25106000.0,25119000.0,2.02674746,50903716.71193
2022-07-01 05:23:00,25119000.0,25119000.0,25100000.0,25119000.0,5.4646895,137206727.76689
2022-07-01 05:24:00,25110000.0,25131000.0,25110000.0,25129000.0,2.00139919,50277468.3302
2022-07-01 05:25:00,25129000.0,25150000.0,25129000.0,25133000.0,2.36283985,59406071.2518
2022-07-01 05:26:00,25134000.0,25139000.0,25129000.0,25136000.0,4.75750176,119567461.85586
